200,6408286210,E1,E1,E1,,0703173,KWH,30,
300,20230521,0.381,0.375,0.369,0.381,0.388,0.163,0.144,0.163,0.163,0.144,0.156,0.150,0.213,0.231,0.206,0.256,0.300,0.394,0.413,0.675,0.681,0.294,0.150,0.156,0.238,0.263,0.238,0.281,0.313,0.331,0.313,0.469,0.463,0.425,0.438,0.456,0.688,0.706,0.588,0.638,0.588,0.606,0.488,0.244,0.181,0.175,0.163,0.156,A,,,20230522012908,
300,20230522,0.150,0.181,0.206,0.181,0.150,0.156,0.156,0.150,0.144,0.225,0.238,0.281,0.244,0.225,0.450,0.913,0.913,0.463,0.369,0.288,0.200,0.269,0.281,0.275,0.288,0.263,0.256,0.281,0.263,0.269,0.288,0.225,0.225,0.263,0.344,0.394,0.438,0.669,1.719,1.031,0.394,0.656,1.238,0.481,0.663,0.269,0.281,0.269,A,,,20230523010431,
300,20230523,0.250,0.275,0.313,0.250,0.306,0.281,0.300,0.269,0.244,0.319,0.281,0.250,0.313,0.256,0.306,0.475,0.406,0.350,0.350,0.506,0.325,0.256,0.294,0.294,0.288,0.806,1.150,1.106,0.631,0.256,0.188,0.194,0.206,0.225,0.275,0.356,0.638,0.594,0.419,0.356,0.375,0.506,0.425,0.231,0.163,0.188,0.181,0.163,A,,,20230524022011,
300,20230524,0.163,0.169,0.163,0.156,0.156,0.169,0.163,0.156,0.156,0.163,0.163,0.156,0.181,0.163,0.156,0.488,0.325,0.269,0.225,0.294,0.269,0.344,0.794,0.625,0.606,0.463,0.450,0.250,0.281,0.244,0.213,0.444,0.556,0.463,0.456,0.588,0.481,0.694,1.044,0.819,0.756,0.500,0.513,0.375,0.169,0.175,0.181,0.163,A,,,20230525025955,
300,20230525,0.163,0.163,0.163,0.163,0.156,0.175,0.231,0.231,0.225,0.244,0.488,0.250,0.250,0.269,0.381,0.819,0.606,0.950,0.656,0.831,0.619,0.369,0.244,0.388,0.631,0.513,1.344,1.100,0.538,0.325,0.456,0.444,0.963,0.531,0.438,0.600,0.769,0.563,0.656,1.156,0.519,0.306,0.219,0.175,0.188,0.175,0.181,0.169,A,,,20230526015151,
300,20230526,0.156,0.163,0.169,0.169,0.156,0.213,0.275,0.250,0.250,0.256,0.331,0.231,0.356,0.613,0.538,0.663,0.794,0.731,0.469,0.625,0.244,0.300,0.356,0.338,0.400,0.406,0.619,0.413,0.356,0.313,0.381,1.244,1.306,0.469,1.019,1.106,1.213,0.525,0.450,0.538,0.475,0.538,0.469,0.450,0.394,0.231,0.163,0.163,A,,,20230527031839,
300,20230527,0.169,0.163,0.150,0.150,0.163,0.156,0.200,0.188,0.156,0.163,0.150,0.144,0.238,0.213,0.206,0.219,0.438,0.663,0.706,0.675,0.600,0.281,0.188,0.213,0.244,0.244,0.463,0.244,0.344,0.244,0.294,0.375,0.325,0.400,0.350,0.569,0.500,0.400,0.513,0.575,0.600,0.450,0.438,0.381,0.250,0.188,0.169,0.150,A,,,20230528011549,
300,20230528,0.156,0.163,0.163,0.225,0.225,0.231,0.231,0.231,0.219,0.244,0.269,0.219,0.288,0.225,0.238,0.225,0.300,0.556,0.500,0.525,0.288,0.288,0.244,0.225,0.263,0.275,0.294,0.444,0.388,0.313,0.313,0.244,0.356,1.106,1.338,0.925,0.400,0.575,0.613,0.513,0.531,0.844,0.419,0.781,0.188,0.169,0.150,0.163,A,,,20230529011546,
300,20230529,0.163,0.150,0.163,0.163,0.156,0.150,0.163,0.244,0.175,0.244,0.225,0.400,0.225,0.206,0.244,0.481,0.825,0.650,0.431,0.500,0.338,0.300,0.344,0.413,0.394,0.269,0.269,0.275,0.438,0.300,0.306,0.344,0.319,1.600,0.513,0.450,0.481,0.456,0.513,0.581,0.463,0.413,0.444,0.375,0.331,0.294,0.175,0.175,A,,,20230530014959,
300,20230530,0.156,0.163,0.175,0.163,0.156,0.175,0.163,0.225,0.231,0.181,0.238,0.356,0.256,0.238,0.244,0.344,0.319,0.725,0.400,0.550,0.413,0.319,0.369,0.300,0.356,0.381,0.313,0.325,0.350,0.319,0.313,0.356,0.369,0.313,0.356,0.381,0.588,0.456,0.538,0.400,0.506,0.475,0.394,0.813,0.338,0.669,0.169,0.181,A,,,20230531020303,
300,20230531,0.169,0.156,0.175,0.181,0.156,0.163,0.175,0.163,0.163,0.169,0.169,0.156,0.163,0.169,0.169,0.206,0.356,0.863,0.538,0.413,0.375,0.350,0.250,0.331,0.294,0.344,0.319,0.413,0.306,0.306,0.344,0.331,0.294,0.281,0.369,0.469,0.456,0.563,0.500,0.519,0.569,0.506,0.275,0.188,0.188,0.194,0.175,0.163,A,,,20230601011735,
300,20230601,0.175,0.163,0.156,0.169,0.169,0.156,0.163,0.169,0.156,0.150,0.325,0.181,0.231,0.306,0.244,0.413,0.444,0.694,0.450,0.438,0.519,0.225,0.263,0.200,0.219,0.225,0.213,0.206,0.494,0.631,0.494,0.469,0.306,0.406,0.738,0.325,0.550,0.481,0.469,0.444,0.569,0.363,0.381,0.219,0.525,0.488,0.656,0.313,A,,,20230602022123,
300,20230602,0.225,0.188,0.156,0.169,0.169,0.163,0.150,0.244,0.263,0.275,0.350,0.269,0.319,0.306,0.369,0.531,0.750,0.675,0.488,0.844,0.750,0.444,0.431,0.338,1.019,1.263,1.144,0.406,0.319,0.513,1.269,1.269,0.438,0.344,0.513,0.525,0.506,0.519,0.594,0.531,0.475,0.575,0.525,0.413,0.219,0.163,0.163,0.169,A,,,20230603024026,
300,20230603,0.163,0.150,0.169,0.163,0.150,0.169,0.169,0.169,0.194,0.169,0.150,0.244,0.225,0.256,0.213,0.250,0.225,0.231,0.544,0.850,0.650,0.431,0.413,0.450,0.381,0.375,0.306,0.338,0.281,0.256,0.331,0.269,0.425,0.600,0.406,0.400,0.344,0.394,0.350,0.431,0.338,0.419,0.375,0.431,0.406,0.400,0.469,0.394,A,,,20230604023116,
300,20230604,0.288,0.200,0.169,0.163,0.169,0.244,0.250,0.313,0.256,0.313,0.275,0.250,0.319,0.231,0.300,0.300,0.625,0.531,0.506,0.394,0.350,0.375,0.244,0.294,0.294,0.550,0.313,0.350,0.300,0.288,0.288,0.363,0.319,0.331,0.481,0.506,0.869,0.575,0.838,0.756,1.063,0.600,0.719,0.281,0.256,0.244,0.194,0.194,A,,,20230605012327,
300,20230605,0.206,0.188,0.281,0.288,0.269,0.269,0.275,0.319,0.281,0.331,0.350,0.281,0.375,0.325,0.331,0.900,0.744,0.631,0.481,0.300,0.263,0.256,0.369,0.331,0.319,0.250,0.319,0.313,0.544,0.450,0.513,0.400,1.281,0.419,0.475,0.413,0.500,0.506,0.438,0.400,0.238,0.200,0.194,0.313,0.181,0.169,0.181,0.169,A,,,20230606015655,
